title,director,score
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,9.7
霸王别姬,导演: 陈凯歌 Kaige Chen,9.6
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,9.5
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,9.5
千与千寻,导演: 宫崎骏 Hayao Miyazaki,9.4
这个杀手不太冷,导演: 吕克·贝松 Luc Besson,9.4
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,9.5
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,9.4
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,9.4
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,9.5
楚门的世界,导演: 彼得·威尔 Peter Weir,9.4
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,9.4
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,9.3
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,9.2
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,9.3
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,9.3
疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,9.2
无间道,导演: 刘伟强 / 麦兆辉,9.3
控方证人,导演: 比利·怀尔德 Billy Wilder,9.6
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,9.2
熔炉,导演: 黄东赫 Dong-hyuk Hwang,9.4
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,9.3
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,9.3
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,9.2
寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,9.1
title,director,score
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,9.3
龙猫,导演: 宫崎骏 Hayao Miyazaki,9.2
怦然心动,导演: 罗伯·莱纳 Rob Reiner,9.1
活着,导演: 张艺谋 Yimou Zhang,9.3
哈利·波特与魔法石,导演: Chris Columbus,9.2
蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan,9.2
指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson,9.3
我不是药神,导演: 文牧野 Muye Wen,9.0
乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,9.3
飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,9.1
素媛,导演: 李濬益 Jun-ik Lee,9.3
十二怒汉,导演: Sidney Lumet,9.4
哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki,9.1
让子弹飞,导演: 姜文 Wen Jiang,9.0
何以为家,导演: 娜丁·拉巴基 Nadine Labaki,9.1
摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari,9.0
猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,9.1
天空之城,导演: 宫崎骏 Hayao Miyazaki,9.2
鬼子来了,导演: 姜文 Wen Jiang,9.3
海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer,9.3
少年派的奇幻漂流,导演: 李安 Ang Lee,9.1
钢琴家,导演: 罗曼·波兰斯基 Roman Polanski,9.3
大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau,9.0
指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson,9.2
闻香识女人,导演: 马丁·布莱斯 Martin Brest,9.1
title,director,score
死亡诗社,导演: 彼得·威尔 Peter Weir,9.2
绿皮书,导演: 彼得·法雷里 Peter Farrelly,8.9
罗马假日,导演: 威廉·惠勒 William Wyler,9.1
大闹天宫,导演: 万籁鸣 Laiming Wan,9.4
